股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
601066,202512,1.4403048981940112,601066.SH,中信建投,北京,证券,中信建投证券股份有限公司,"China Securities Co., Ltd.",ZXJT,主板,SSE,20180620,无实际控制人,其他
601607,202512,1.4394869221846571,601607.SH,上海医药,上海,医药商业,上海医药集团股份有限公司,"Shanghai Pharmaceuticals Holding Co.,Ltd.",SHYY,主板,SSE,19940324,上海市国有资产监督管理委员会,地方国有企业
000029,202512,1.4391553102889731,000029.SZ,深深房Ａ,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",SSFA,主板,SZSE,19930915,深圳市人民政府国有资产监督管理委员会,地方国有企业
002352,202512,1.4386026237961669,002352.SZ,顺丰控股,深圳,仓储物流,顺丰控股股份有限公司,"S.F. Holding Co.,Ltd.",SFKG,主板,SZSE,20100205,王卫,民营企业
002289,202512,1.438281474614143,002289.SZ,*ST宇顺,深圳,元器件,深圳市宇顺电子股份有限公司,"Shenzhen Success Electronics Co., Ltd",*STYS,主板,SZSE,20090903,张建云,民营企业
601882,202512,1.43804993730336,601882.SH,海天精工,浙江,机床制造,宁波海天精工股份有限公司,"Ningbo Haitian Precision Machinery Co.,Ltd.",HTJG,主板,SSE,20161107,张静章,民营企业
603219,202512,1.437389329190407,603219.SH,富佳股份,浙江,家用电器,宁波富佳实业股份有限公司,"Ningbo Fujia Industrial Co., Ltd.",FJGF,主板,SSE,20211122,王跃旦,民营企业
000617,202512,1.4372787918918457,000617.SZ,中油资本,新疆,多元金融,中国石油集团资本股份有限公司,CNPC Capital Company Limited,ZYZB,主板,SZSE,19961022,中国石油天然气集团有限公司,中央企业
600893,202512,1.437057717294723,600893.SH,航发动力,陕西,航空,中国航发动力股份有限公司,"AECC Aviation Power Co.,Ltd",HFDL,主板,SSE,19960408,中国航空发动机集团有限公司,中央企业
000909,202512,1.4366155681004775,000909.SZ,ST数源,浙江,区域地产,数源科技股份有限公司,"Soyea Technology Co.,Ltd.",STSY,主板,SZSE,19990507,杭州市人民政府,地方国有企业
600928,202512,1.4361760345846477,600928.SH,西安银行,陕西,银行,西安银行股份有限公司,"Bank Of Xi'An Co.,Ltd.",XAYH,主板,SSE,20190301,西安市人民政府,地方国有企业
600081,202512,1.435397042137888,600081.SH,东风科技,上海,汽车配件,东风电子科技股份有限公司,"Dong Feng Electronic Technology Co., Ltd.",DFKJ,主板,SSE,19970703,国务院国有资产监督管理委员会,中央企业
601801,202512,1.4348443556450814,601801.SH,皖新传媒,安徽,出版业,安徽新华传媒股份有限公司,"Anhui Xinhua Media Co.,Ltd.",WXCM,主板,SSE,20100118,安徽省人民政府,地方国有企业
600197,202512,1.4339652886134209,600197.SH,伊力特,新疆,白酒,新疆伊力特实业股份有限公司,"Xinjiang Yilite Industry CO.,LTD",YLT,主板,SSE,19990916,新疆生产建设兵团农四师,地方国有企业
605005,202512,1.4326336096738546,605005.SH,合兴股份,浙江,汽车配件,合兴汽车电子股份有限公司,"CWB Automotive Electronics Co., Ltd.",HXGF,主板,SSE,20210119,陈文葆,民营企业
002168,202512,1.432083538859463,002168.SZ,*ST惠程,重庆,电气设备,重庆惠程信息科技股份有限公司,"Chongqing Hifuture Information Technology Co., Ltd.",*STHC,主板,SZSE,20070919,重庆市璧山区财政局,地方国有企业
003013,202512,1.432080923181048,003013.SZ,地铁设计,广东,建筑工程,广州地铁设计研究院股份有限公司,"Guangzhou Metro Design & Research Institute Co., Ltd.",DTSJ,主板,SZSE,20201022,广州市人民政府国有资产监督管理委员会,地方国有企业
002867,202512,1.4318624642623403,002867.SZ,周大生,深圳,服饰,周大生珠宝股份有限公司,"Chow Tai Seng Jewellery Co.,Ltd.",ZDS,主板,SZSE,20170427,周宗文,民营企业
002408,202512,1.4317545426421945,002408.SZ,齐翔腾达,山东,化工原料,淄博齐翔腾达化工股份有限公司,"Zibo Qixiang Tengda Chemical Co., Ltd.",QXTD,主板,SZSE,20100518,山东省人民政府国有资产监督管理委员会,地方国有企业
000550,202512,1.4303123264040667,000550.SZ,江铃汽车,江西,汽车整车,江铃汽车股份有限公司,"Jiangling Motors Corporation, Ltd.",JLQC,主板,SZSE,19931201,江西省南昌市人民政府国有资产监督管理委员会,地方国有企业
601077,202512,1.4302017891055054,601077.SH,渝农商行,重庆,银行,重庆农村商业银行股份有限公司,"Chongqing Rural Commercial Bank Co., Ltd.",YNSH,主板,SSE,20191029,无实际控制人,其他
000967,202512,1.428764804224208,000967.SZ,盈峰环境,浙江,环境保护,盈峰环境科技集团股份有限公司,"Infore Environment Technology Group Co., Ltd.",YFHJ,主板,SZSE,20000330,何剑锋,民营企业
