股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
002975,202602,2.8750168810109105,002975.SZ,博杰股份,广东,专用机械,珠海博杰电子股份有限公司,"Zhuhai Bojay Electronics Co.,Ltd.",BJGF,主板,SZSE,20200205,王兆春,民营企业
600650,202602,2.87499268562899,600650.SH,锦江在线,上海,公共交通,上海锦江在线网络服务股份有限公司,"Shanghai Jin Jiang Online Network Service Co., Ltd.",JJZX,主板,SSE,19930607,上海市国有资产监督管理委员会,地方国有企业
603966,202602,2.874938990920985,603966.SH,法兰泰克,江苏,专用机械,法兰泰克重工股份有限公司,"Eurocrane(China)Co., Ltd.",FLTK,主板,SSE,20170125,金红萍,民营企业
601778,202602,2.874560475992872,601778.SH,晶科科技,江西,新型电力,晶科电力科技股份有限公司,"Jinko Power Technology Co., Ltd.",JKKJ,主板,SSE,20200519,李仙德,民营企业
002820,202602,2.874189916981004,002820.SZ,桂发祥,天津,食品,天津桂发祥十八街麻花食品股份有限公司,"Tianjin Guifaxiang 18th Street Mahua Food Co., Ltd.",GFX,主板,SZSE,20161118,天津市河西区人民政府国有资产监督管理委员会,地方国有企业
002396,202602,2.8727375078928006,002396.SZ,星网锐捷,福建,通信设备,福建星网锐捷通讯股份有限公司,"Fujian Star-net Communication Co.,Ltd.",XWRJ,主板,SZSE,20100623,福建省人民政府国有资产监督管理委员会,地方国有企业
600337,202602,2.8719509787104904,600337.SH,美克家居,江西,家居用品,美克国际家居用品股份有限公司,"Markor International Home Furnishings Co., Ltd.",MKJJ,主板,SSE,20001127,冯东明,民营企业
002246,202602,2.8716878091146314,002246.SZ,北化股份,四川,化工原料,北方化学工业股份有限公司,"North Chemical Industries Co., Ltd.",BHGF,主板,SZSE,20080605,中国兵器工业集团有限公司,中央企业
000630,202602,2.871655657816466,000630.SZ,铜陵有色,安徽,铜,铜陵有色金属集团股份有限公司,"Tongling Nonferrous Metals Group Co.,Ltd.",TLYS,主板,SZSE,19961120,安徽省人民政府国有资产监督管理委员会,地方国有企业
603391,202602,2.8709897779105726,603391.SH,力聚热能,浙江,专用机械,浙江力聚热能装备股份有限公司,"Zhejiang Liju Thermal Equipment Co., Ltd.",LJRN,主板,SSE,20240731,何俊南,民营企业
002286,202602,2.870968234500734,002286.SZ,保龄宝,山东,食品,保龄宝生物股份有限公司,"Baolingbao Biology Co.,Ltd.",BLB,主板,SZSE,20090828,戴斯觉,外资
601218,202602,2.870911887820648,601218.SH,吉鑫科技,江苏,电气设备,江苏吉鑫风能科技股份有限公司,"Jiangsu SINOJIT Wind Energy Technology Co., Ltd.",JXKJ,主板,SSE,20110506,包士金,民营企业
002706,202602,2.870860845084725,002706.SZ,良信股份,上海,电气设备,上海良信电器股份有限公司,"Shanghai Liangxin Electrical Co., LTD.",LXGF,主板,SZSE,20140121,任思龙,民营企业
002612,202602,2.8708286937865592,002612.SZ,朗姿股份,北京,服饰,朗姿股份有限公司,"Lancy Co.,Ltd.",LZGF,主板,SZSE,20110830,申东日,民营企业
000573,202602,2.870801846432557,000573.SZ,粤宏远Ａ,广东,区域地产,东莞宏远工业区股份有限公司,DongGuan Winnerway Industry Zone Ltd.,YHYA,主板,SZSE,19940815,陈海涛,民营企业
603273,202602,2.870501221594369,603273.SH,天元智能,江苏,专用机械,江苏天元智能装备股份有限公司,"Jiangsu Teeyer Intelligent Equipment Co., Ltd.",TYZN,主板,SSE,20231023,吴逸中,民营企业
603917,202602,2.870458134774691,603917.SH,合力科技,浙江,汽车配件,宁波合力科技股份有限公司,"Ningbo Heli Technology Co., Ltd.",HLKJ,主板,SSE,20171204,施良才,民营企业
603888,202602,2.8702622473804302,603888.SH,新华网,北京,互联网,新华网股份有限公司,"Xinhuanet Co., Ltd.",XHW,主板,SSE,20161028,新华通讯社,中央企业
600152,202602,2.869835341688476,600152.SH,维科技术,浙江,电气设备,维科技术股份有限公司,"Veken Technology.,Ltd.",WKJS,主板,SSE,19980609,何承命,民营企业
002548,202602,2.86969314900222,002548.SZ,金新农,深圳,饲料,深圳市金新农科技股份有限公司,"Shenzhen Kingsino Technology Co.,Ltd.",JXN,主板,SZSE,20110218,无实际控制人,其他
002137,202602,2.869408435996521,002137.SZ,实益达,深圳,元器件,深圳市实益达科技股份有限公司,"Shenzhen Sea Star Technology Co., Ltd",SYD,主板,SZSE,20070613,陈亚妹,民营企业
002153,202602,2.869298394608431,002153.SZ,石基信息,北京,软件服务,北京中长石基信息技术股份有限公司,"Beijing Shiji Information Technology Co.,Ltd.",SJXX,主板,SZSE,20070813,李仲初,民营企业
000607,202602,2.8692125486022606,000607.SZ,华媒控股,浙江,广告包装,浙江华媒控股股份有限公司,"Zhejiang Huamei Holding Co., Ltd.",HMKG,主板,SZSE,19960830,杭州日报报业集团(杭州日报社),地方国有企业
600789,202602,2.869083615776413,600789.SH,鲁抗医药,山东,化学制药,山东鲁抗医药股份有限公司,"Shandong Lukang Pharmaceutical Co.,Ltd.",LKYY,主板,SSE,19970226,山东省人民政府国有资产监督管理委员会,地方国有企业
600735,202602,2.8687640995004675,600735.SH,ST新华锦,山东,服饰,山东新华锦国际股份有限公司,"Shandong Hiking International Co., Ltd.",STXHJ,主板,SSE,19960726,张建华,民营企业
600363,202602,2.8685198213423653,600363.SH,联创光电,江西,元器件,江西联创光电科技股份有限公司,"Jiangxi Lian Chuang Optoelectronic Science And Technology Co., Ltd.",LCGD,主板,SSE,20010329,伍锐,民营企业
603169,202602,2.8682486958302613,603169.SH,兰石重装,甘肃,专用机械,兰州兰石重型装备股份有限公司,"Lanzhou LS Heavy Equipment co., Ltd",LSZZ,主板,SSE,20141009,甘肃省人民政府国有资产监督管理委员会,地方国有企业
002405,202602,2.8679238756101526,002405.SZ,四维图新,北京,软件服务,北京四维图新科技股份有限公司,"SeeWay.ai Co.,Ltd.",SWTX,主板,SZSE,20100518,无实际控制人,其他
600326,202602,2.8677465520204635,600326.SH,西藏天路,西藏,水泥,西藏天路股份有限公司,"Xizang Tianlu Co., Ltd.",XZTL,主板,SSE,20010116,西藏自治区人民政府国有资产监督管理委员会,地方国有企业
002614,202602,2.86741377588411,002614.SZ,奥佳华,福建,家用电器,奥佳华智能健康科技集团股份有限公司,"Xiamen Comfort Science&Technology Group Co., Ltd.",AJH,主板,SZSE,20110909,邹剑寒,民营企业
603058,202602,2.8672606476763414,603058.SH,永吉股份,贵州,广告包装,贵州永吉印务股份有限公司,"GuiZhou YongJi Printing CO.,LTD",YJGF,主板,SSE,20161223,邓代兴,民营企业
002745,202602,2.8669089801022305,002745.SZ,木林森,广东,元器件,木林森股份有限公司,"MLS Co.,Ltd.",MLS,主板,SZSE,20150217,孙清焕,民营企业
605277,202602,2.866672657860373,605277.SH,新亚电子,浙江,元器件,新亚电子股份有限公司,"Xinya Electronic Co., Ltd.",XYDZ,主板,SSE,20210106,赵战兵,民营企业
002596,202602,2.8666620499720468,002596.SZ,海南瑞泽,海南,水泥,海南瑞泽新型建材股份有限公司,"Hainan Ruize New Building Material Co.,Ltd.",HNRZ,主板,SZSE,20110707,张海林,民营企业
600619,202602,2.866245752168419,600619.SH,海立股份,上海,家用电器,上海海立(集团)股份有限公司,"Shanghai Highly (Group) Co.,Ltd.",HLGF,主板,SSE,19921116,上海市国有资产监督管理委员会,地方国有企业
603602,202602,2.866071408183997,603602.SH,纵横通信,浙江,通信设备,杭州纵横通信股份有限公司,"Hangzhou Freely Communication Co., Ltd.",ZHTX,主板,SSE,20170810,苏维锋,民营企业
