ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol_num,market_id
000001.SH,上证指数,SSE,中证指数有限公司,综合指数,19901219,100,19910715,000001,1
000002.SH,上证A指,SSE,中证指数有限公司,规模指数,19901219,100,19920221,000002,1
000003.SH,B股指数,SSE,中证指数有限公司,规模指数,19920221,100,19920817,000003,1
000004.SH,工业指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503,000004,1
000005.SH,商业指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503,000005,1
000006.SH,地产指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503,000006,1
000007.SH,公用指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503,000007,1
000008.SH,综合指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503,000008,1
000009.SH,上证380,SSE,中证指数有限公司,规模指数,20031231,1000,20101129,000009,1
000010.SH,上证180,SSE,中证指数有限公司,规模指数,20020628,3299.06,20020701,000010,1
000015.SH,红利指数,SSE,中证指数有限公司,策略指数,20041231,1000,20050104,000015,1
000016.SH,上证50,SSE,中证指数有限公司,规模指数,20031231,1000,20040102,000016,1
000017.SH,新综指,SSE,中证指数有限公司,规模指数,20051230,1000,20060104,000017,1
000018.SH,180金融,SSE,中证指数有限公司,行业指数,20020628,1000,20071210,000018,1
000019.SH,治理指数,SSE,中证指数有限公司,主题指数,20070629,1000,20080102,000019,1
000020.SH,中型综指,SSE,中证指数有限公司,规模指数,20071228,1000,20080512,000020,1
000021.SH,180治理,SSE,中证指数有限公司,主题指数,20070629,1000,20080910,000021,1
000025.SH,180基建,SSE,中证指数有限公司,主题指数,20020628,1000,20081215,000025,1
000026.SH,180资源,SSE,中证指数有限公司,主题指数,20020628,1000,20081215,000026,1
000027.SH,180运输,SSE,中证指数有限公司,主题指数,20020628,1000,20081215,000027,1
000028.SH,180成长,SSE,中证指数有限公司,风格指数,20020628,1000,20090109,000028,1
000029.SH,180价值,SSE,中证指数有限公司,风格指数,20020628,1000,20090109,000029,1
000030.SH,180R成长,SSE,中证指数有限公司,风格指数,20020628,1000,20090109,000030,1
000031.SH,180R价值,SSE,中证指数有限公司,风格指数,20020628,1000,20090109,000031,1
000032.SH,上证能源,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000032,1
000033.SH,上证材料,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000033,1
000034.SH,上证工业,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000034,1
000035.SH,上证可选,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000035,1
000036.SH,上证消费,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000036,1
000037.SH,上证医药,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000037,1
000038.SH,上证金融,SSE,中证指数有限公司,主题指数,20031231,1000,20090109,000038,1
000039.SH,上证信息,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000039,1
000040.SH,上证通信,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000040,1
000041.SH,上证公用,SSE,中证指数有限公司,一级行业指数,20031231,1000,20090109,000041,1
000042.SH,上证央企,SSE,中证指数有限公司,主题指数,20081231,1000,20090330,000042,1
000043.SH,超大盘,SSE,中证指数有限公司,规模指数,20031231,1000,20090423,000043,1
000044.SH,上证中盘,SSE,中证指数有限公司,规模指数,20031231,1000,20090703,000044,1
000045.SH,上证小盘,SSE,中证指数有限公司,规模指数,20031231,1000,20090703,000045,1
000046.SH,上证中小,SSE,中证指数有限公司,规模指数,20031231,1000,20090703,000046,1
000047.SH,上证全指,SSE,中证指数有限公司,规模指数,20031231,1000,20090703,000047,1
000048.SH,责任指数,SSE,中证指数有限公司,主题指数,20090630,1000,20090805,000048,1
000049.SH,上证民企,SSE,中证指数有限公司,主题指数,20090630,1000,20090825,000049,1
000050.SH,50等权,SSE,中证指数有限公司,策略指数,20031231,1000,20110104,000050,1
000051.SH,180等权,SSE,中证指数有限公司,策略指数,20020628,3299.06,20110524,000051,1
000052.SH,50基本,SSE,中证指数有限公司,策略指数,20031231,1000,20120109,000052,1
000053.SH,180基本,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120109,000053,1
000054.SH,上证海外,SSE,中证指数有限公司,主题指数,20061229,1000,20100104,000054,1
000055.SH,上证地企,SSE,中证指数有限公司,主题指数,20090630,1000,20100104,000055,1
000056.SH,上证国企,SSE,中证指数有限公司,主题指数,20090630,1000,20100104,000056,1
000057.SH,全指成长,SSE,中证指数有限公司,风格指数,20031231,1000,20100104,000057,1
000058.SH,全指价值,SSE,中证指数有限公司,风格指数,20031231,1000,20100104,000058,1
